���� ��¥,����� ��,defCnt,����,�õ�,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
52:01.3,20,5139,경남,Gyeongsangnam-do,18,4998,121,18,0,152.89,10303,2021??06??23??00??null,
52:01.3,86,4889,경북,Gyeongsangbuk-do,21,4698,105,21,0,183.62,10302,2021??06??23??00??null,
52:01.3,15,1602,?�남,Jeollanam-do,2,1496,91,2,0,85.91,10301,2021??06??23??00??null,
52:01.3,58,2326,?�북,Jeollabuk-do,2,2226,42,2,0,127.99,10300,2021??06??23??00??null,
52:01.3,41,3735,충남,Chungcheongnam-do,9,3586,108,9,0,175.98,10299,2021??06??23??00??null,
52:01.3,70,3261,충북,Chungcheongbuk-do,10,3034,157,10,0,203.89,10298,2021??06??23??00??null,
52:01.3,52,3447,강원,Gangwon-do,17,3280,115,17,0,223.75,10297,2021??06??23??00??null,
52:01.3,650,42698,경기,Gyeonggi-do,191,40211,1837,180,11,322.24,10296,2021??06??23??00??null,
52:01.3,1,541,?�종,Sejong,8,503,37,7,1,158.04,10295,2021??06??23??00??null,
52:01.3,40,2742,?�산,Ulsan,5,2641,61,5,0,239.05,10294,2021??06??23??00??null,
52:01.3,27,2541,?�??大田,58,2274,240,57,1,172.37,10293,2021??06??23??00??null,,
52:01.3,24,2896,광주,Gwangju,4,2836,36,4,0,198.81,10292,2021??06??23??00??null,
52:01.3,61,6608,?�천,Incheon,28,6340,207,26,2,223.54,10291,2021??06??23??00??null,
52:01.3,222,10545,?��?大邱,7,10179,144,6,1,432.8,10290,2021??06??23??00??null,,
52:01.3,124,6070,부???�山,16,5743,203,13,3,177.91,10289,2021??06??23??00??null,,
52:01.3,510,48196,?�울,Seoul,236,45267,2419,228,8,495.16,10288,2021??06??23??00??null,
52:01.3,2007,152545,?�계,Total,645,144379,6159,605,40,294.22,10287,2021??06??23??00??null,
50:46.9,5,4062,검???�離?�,29,3816,241,0,29,-,10286,2021??06??22??00??null,,
50:46.9,1,1234,?�주,Jeju,1,1168,65,1,0,183.97,10285,2021??06??22??00??null,
50:46.9,20,5121,경남,Gyeongsangnam-do,11,4972,129,11,0,152.35,10284,2021??06??22??00??null,
50:46.9,86,4868,경북,Gyeongsangbuk-do,11,4691,91,10,1,182.84,10283,2021??06??22??00??null,
50:46.9,15,1600,?�남,Jeollanam-do,8,1487,98,6,2,85.8,10282,2021??06??22??00??null,
50:46.9,58,2324,?�북,Jeollabuk-do,2,2218,48,2,0,127.88,10281,2021??06??22??00??null,
50:46.9,41,3726,충남,Chungcheongnam-do,12,3579,106,11,1,175.55,10280,2021??06??22??00??null,
50:46.9,70,3251,충북,Chungcheongbuk-do,16,3013,168,16,0,203.26,10279,2021??06??22??00??null,
50:46.9,52,3430,강원,Gangwon-do,10,3256,122,10,0,222.65,10278,2021??06??22??00??null,
50:46.9,650,42507,경기,Gyeonggi-do,92,40047,1810,92,0,320.8,10277,2021??06??22??00??null,
50:46.9,1,533,?�종,Sejong,6,501,31,6,0,155.7,10276,2021??06??22??00??null,
50:46.9,40,2737,?�산,Ulsan,5,2638,59,4,1,238.61,10275,2021??06??22??00??null,
50:46.9,27,2483,?�??大田,31,2259,197,30,1,168.44,10274,2021??06??22??00??null,,
50:46.9,24,2892,광주,Gwangju,2,2835,33,2,0,198.53,10273,2021??06??22??00??null,
50:46.9,61,6580,?�천,Incheon,18,6320,199,15,3,222.59,10272,2021??06??22??00??null,
50:46.9,222,10538,?��?大邱,3,10157,159,3,0,432.51,10271,2021??06??22??00??null,,
50:46.9,124,6054,부???�山,6,5730,200,6,0,177.44,10270,2021??06??22??00??null,,
50:46.9,509,47960,?�울,Seoul,132,45130,2321,126,6,492.74,10269,2021??06??22??00??2021-06-23 14:30:14.833,
50:46.9,2006,151900,?�계,Total,394,143817,6078,350,44,292.98,10268,2021??06??22??00??2021-06-23 10:01:25.247,
43:25.3,5,4033,검???�離?�,12,3811,217,0,12,-,10267,2021??06??21??00??null,,
43:25.3,1,1233,?�주,Jeju,3,1157,75,2,1,183.82,10266,2021??06??21??00??null,
43:25.3,20,5110,경남,Gyeongsangnam-do,13,4966,124,10,3,152.02,10265,2021??06??21??00??null,
43:25.3,86,4857,경북,Gyeongsangbuk-do,8,4687,84,6,2,182.42,10264,2021??06??21??00??null,
43:25.3,15,1592,?�남,Jeollanam-do,10,1485,92,10,0,85.38,10263,2021??06??21??00??null,
43:25.3,58,2322,?�북,Jeollabuk-do,3,2215,49,3,0,127.77,10262,2021??06??21??00??null,
43:25.3,41,3714,충남,Chungcheongnam-do,11,3574,99,11,0,174.99,10261,2021??06??21??00??null,
43:25.3,69,3235,충북,Chungcheongbuk-do,3,2993,173,2,1,202.26,10260,2021??06??21??00??null,
43:25.3,52,3420,강원,Gangwon-do,9,3243,125,7,2,222,10259,2021??06??21??00??null,
43:25.3,650,42415,경기,Gyeonggi-do,91,39892,1873,88,3,320.1,10258,2021??06??21??00??null,
43:25.3,1,527,?�종,Sejong,2,501,25,2,0,153.95,10257,2021??06??21??00??null,
43:25.3,40,2732,?�산,Ulsan,0,2631,61,0,0,238.18,10256,2021??06??21??00??null,
43:25.3,27,2452,?�??大田,15,2235,190,14,1,166.33,10255,2021??06??21??00??null,,
43:25.3,24,2890,광주,Gwangju,2,2828,38,1,1,198.4,10254,2021??06??21??00??null,
43:25.3,61,6562,?�천,Incheon,9,6282,219,7,2,221.98,10253,2021??06??21??00??null,
43:25.3,222,10535,?��?大邱,18,10131,182,16,2,432.38,10252,2021??06??21??00??null,,
43:25.3,124,6048,부???�山,14,5708,216,11,3,177.27,10251,2021??06??21??00??null,,
43:25.3,508,47829,?�울,Seoul,134,44929,2392,127,7,491.38,10250,2021??06??21??00??null,
43:25.3,2004,151506,?�계,Total,357,143268,6234,317,40,292.21,10249,2021??06??21??00??null,
50:17.5,5,4021,검???�離?�,19,3811,205,0,19,-,10248,2021??06??20??00??null,,
50:17.5,1,1230,?�주,Jeju,2,1150,79,2,0,183.38,10247,2021??06??20??00??null,
50:17.5,20,5097,경남,Gyeongsangnam-do,11,4944,133,10,1,151.64,10246,2021??06??20??00??null,
50:17.5,86,4849,경북,Gyeongsangbuk-do,6,4684,79,5,1,182.12,10245,2021??06??20??00??null,
50:17.5,15,1582,?�남,Jeollanam-do,3,1482,85,3,0,84.84,10244,2021??06??20??00??null,
50:17.5,58,2319,?�북,Jeollabuk-do,3,2213,48,3,0,127.61,10243,2021??06??20??00??null,
50:17.5,41,3703,충남,Chungcheongnam-do,10,3570,92,10,0,174.47,10242,2021??06??20??00??null,
50:17.5,69,3232,충북,Chungcheongbuk-do,6,2987,176,6,0,202.08,10241,2021??06??20??00??null,
50:17.5,52,3411,강원,Gangwon-do,13,3243,116,13,0,221.42,10240,2021??06??20??00??null,
50:17.5,650,42324,경기,Gyeonggi-do,113,39771,1903,111,2,319.42,10239,2021??06??20??00??null,
50:17.5,1,525,?�종,Sejong,3,499,25,2,1,153.36,10238,2021??06??20??00??null,
50:17.5,40,2732,?�산,Ulsan,5,2621,71,5,0,238.18,10237,2021??06??20??00??null,
50:17.5,27,2437,?�??大田,8,2224,186,8,0,165.32,10236,2021??06??20??00??null,,
50:17.5,23,2888,광주,Gwangju,3,2827,38,2,1,198.26,10235,2021??06??20??00??null,
50:17.5,61,6553,?�천,Incheon,22,6269,223,19,3,221.68,10234,2021??06??20??00??null,
50:17.5,222,10517,?��?大邱,16,10110,185,15,1,431.65,10233,2021??06??20??00??null,,
50:17.5,124,6034,부???�山,21,5689,221,14,7,176.86,10232,2021??06??20??00??null,,
50:17.5,507,47695,?�울,Seoul,165,44805,2383,152,13,490.01,10231,2021??06??20??00??null,
50:17.5,2002,151149,?�계,Total,429,142899,6248,380,49,291.53,10230,2021??06??20??00??null,
56:43.3,5,4002,검???�離?�,12,3811,186,0,12,-,10229,2021??06??19??00??null,,
56:43.3,1,1228,?�주,Jeju,7,1141,86,7,0,183.08,10228,2021??06??19??00??null,
56:43.3,20,5086,경남,Gyeongsangnam-do,11,4912,154,10,1,151.31,10227,2021??06??19??00??null,
56:43.3,86,4843,경북,Gyeongsangbuk-do,4,4671,86,4,0,181.9,10226,2021??06??19??00??null,
56:43.3,15,1579,?�남,Jeollanam-do,5,1479,85,5,0,84.68,10225,2021??06??19??00??null,
56:43.3,58,2316,?�북,Jeollabuk-do,5,2210,48,5,0,127.44,10224,2021??06??19??00??null,
56:43.3,41,3693,충남,Chungcheongnam-do,12,3564,88,12,0,174,10223,2021??06??19??00??null,
56:43.3,69,3226,충북,Chungcheongbuk-do,10,2972,185,10,0,201.7,10222,2021??06??19??00??null,
56:43.2,51,3398,강원,Gangwon-do,5,3233,114,5,0,220.57,10221,2021??06??19??00??null,
56:43.2,649,42211,경기,Gyeonggi-do,145,39633,1929,141,4,318.56,10220,2021??06??19??00??null,
56:43.2,1,522,?�종,Sejong,2,492,29,2,0,152.49,10219,2021??06??19??00??null,
56:43.2,40,2727,?�산,Ulsan,5,2606,81,5,0,237.74,10218,2021??06??19??00??null,
56:43.2,25,2429,?�??大田,5,2215,189,5,0,164.77,10217,2021??06??19??00??null,,
56:43.2,23,2885,광주,Gwangju,4,2823,39,4,0,198.05,10216,2021??06??19??00??null,
56:43.2,61,6531,?�천,Incheon,22,6251,219,20,2,220.93,10215,2021??06??19??00??null,
56:43.2,222,10501,?��?大邱,13,10079,200,13,0,430.99,10214,2021??06??19??00??null,,
56:43.2,124,6013,부???�山,18,5676,213,15,3,176.24,10213,2021??06??19??00??null,,
56:43.2,506,47530,?�울,Seoul,197,44617,2407,193,4,488.31,10212,2021??06??19??00??null,
56:43.2,1997,150720,?�계,Total,482,142385,6338,456,26,290.7,10211,2021??06??19??00??null,
45:13.0,5,3990,검???�離?�,10,3810,175,0,10,-,10210,2021??06??18??00??null,,
45:13.0,1,1221,?�주,Jeju,6,1135,85,6,0,182.04,10209,2021??06??18??00??null,
45:13.0,20,5075,경남,Gyeongsangnam-do,14,4852,203,12,2,150.98,10208,2021??06??18??00??null,
45:13.0,86,4839,경북,Gyeongsangbuk-do,11,4658,95,10,1,181.75,10207,2021??06??18??00??null,
45:13.0,15,1574,?�남,Jeollanam-do,4,1469,90,4,0,84.41,10206,2021??06??18??00??null,
45:13.0,58,2311,?�북,Jeollabuk-do,4,2205,48,3,1,127.17,10205,2021??06??18??00??null,
45:13.0,41,3681,충남,Chungcheongnam-do,7,3550,90,7,0,173.43,10204,2021??06??18??00??null,
45:13.0,69,3216,충북,Chungcheongbuk-do,19,2961,186,19,0,201.08,10203,2021??06??18??00??null,
45:13.0,51,3393,강원,Gangwon-do,9,3215,127,9,0,220.25,10202,2021??06??18??00??null,
45:13.0,649,42066,경기,Gyeonggi-do,153,39468,1949,151,2,317.47,10201,2021??06??18??00??null,
45:13.0,1,520,?�종,Sejong,1,487,32,1,0,151.9,10200,2021??06??18??00??null,
45:13.0,40,2722,?�산,Ulsan,11,2602,80,11,0,237.31,10199,2021??06??18??00??null,
45:13.0,25,2424,?�??大田,13,2186,213,12,1,164.43,10198,2021??06??18??00??null,,
45:13.0,23,2881,광주,Gwangju,2,2819,39,1,1,197.78,10197,2021??06??18??00??null,
45:13.0,61,6509,?�천,Incheon,22,6243,205,21,1,220.19,10196,2021??06??18??00??null,
45:13.0,222,10488,?��?大邱,11,10024,242,11,0,430.46,10195,2021??06??18??00??null,,
45:13.0,124,5995,부???�山,10,5658,213,9,1,175.71,10194,2021??06??18??00??null,,
45:13.0,505,47333,?�울,Seoul,200,44474,2354,197,3,486.29,10193,2021??06??18??00??null,
45:13.0,1996,150238,?�계,Total,507,141816,6426,484,23,289.77,10192,2021??06??18??00??null,
41:58.4,5,3980,검???�離?�,8,3806,169,0,8,-,10191,2021??06??17??00??null,,
41:58.4,1,1215,?�주,Jeju,8,1126,88,8,0,181.14,10190,2021??06??17??00??null,
41:58.4,20,5061,경남,Gyeongsangnam-do,5,4818,223,5,0,150.56,10189,2021??06??17??00??null,
41:58.4,86,4828,경북,Gyeongsangbuk-do,3,4643,99,3,0,181.33,10188,2021??06??17??00??null,
41:58.4,15,1570,?�남,Jeollanam-do,6,1458,97,6,0,84.2,10187,2021??06??17??00??null,
41:58.4,58,2307,?�북,Jeollabuk-do,7,2201,48,6,1,126.95,10186,2021??06??17??00??null,
41:58.4,41,3674,충남,Chungcheongnam-do,5,3545,88,5,0,173.1,10185,2021??06??17??00??null,
41:58.4,69,3197,충북,Chungcheongbuk-do,18,2943,185,18,0,199.89,10184,2021??06??17??00??null,
41:58.4,51,3384,강원,Gangwon-do,7,3207,126,6,1,219.66,10183,2021??06??17??00??null,
41:58.4,648,41913,경기,Gyeonggi-do,183,39272,1993,181,2,316.32,10182,2021??06??17??00??null,
41:58.4,1,519,?�종,Sejong,2,486,32,1,1,151.61,10181,2021??06??17??00??null,
41:58.4,40,2711,?�산,Ulsan,22,2597,74,22,0,236.35,10180,2021??06??17??00??null,
41:58.4,25,2411,?�??大田,18,2165,221,18,0,163.55,10179,2021??06??17??00??null,,
41:58.4,23,2879,광주,Gwangju,6,2817,39,6,0,197.64,10178,2021??06??17??00??null,
41:58.4,61,6487,?�천,Incheon,17,6219,207,17,0,219.44,10177,2021??06??17??00??null,
41:58.4,222,10477,?��?大邱,7,9994,261,7,0,430,10176,2021??06??17??00??null,,
41:58.4,124,5985,부???�山,17,5650,211,15,2,175.42,10175,2021??06??17??00??null,,
41:58.4,504,47133,?�울,Seoul,201,44082,2547,199,2,484.23,10174,2021??06??17??00??null,
41:58.4,1994,149731,?�계,Total,540,141029,6708,523,17,288.79,10173,2021??06??17??00??null,
55:56.6,5,3972,검???�離?�,8,3800,167,0,8,-,10172,2021??06??16??00??null,,
55:56.6,1,1207,?�주,Jeju,9,1105,101,9,0,179.95,10171,2021??06??16??00??null,
55:56.6,20,5056,경남,Gyeongsangnam-do,7,4786,250,7,0,150.42,10170,2021??06??16??00??null,
55:56.6,86,4825,경북,Gyeongsangbuk-do,3,4629,110,3,0,181.22,10169,2021??06??16??00??null,
55:56.6,15,1564,?�남,Jeollanam-do,8,1453,96,8,0,83.87,10168,2021??06??16??00??null,
55:56.6,58,2300,?�북,Jeollabuk-do,2,2195,47,2,0,126.56,10167,2021??06??16??00??null,
55:56.6,41,3669,충남,Chungcheongnam-do,8,3523,105,7,1,172.87,10166,2021??06??16??00??null,
55:56.6,69,3179,충북,Chungcheongbuk-do,17,2925,185,17,0,198.76,10165,2021??06??16??00??null,
55:56.6,51,3377,강원,Gangwon-do,7,3196,130,7,0,219.21,10164,2021??06??16??00??null,
55:56.6,648,41730,경기,Gyeonggi-do,190,39101,1981,184,6,314.93,10163,2021??06??16??00??null,
55:56.6,1,517,?�종,Sejong,4,486,30,4,0,151.02,10162,2021??06??16??00??null,
55:56.6,40,2689,?�산,Ulsan,7,2595,54,6,1,234.43,10161,2021??06??16??00??null,
55:56.6,25,2393,?�??大田,29,2142,226,28,1,162.33,10160,2021??06??16??00??null,,
55:56.6,23,2873,광주,Gwangju,1,2814,36,1,0,197.23,10159,2021??06??16??00??null,
55:56.6,61,6470,?�천,Incheon,12,6201,208,11,1,218.87,10158,2021??06??16??00??null,
55:56.6,222,10470,?��?大邱,16,9958,290,16,0,429.72,10157,2021??06??16??00??null,,
55:56.6,124,5968,부???�山,16,5631,213,13,3,174.92,10156,2021??06??16??00??null,,
55:56.6,503,46932,?�울,Seoul,201,43898,2531,199,2,482.17,10155,2021??06??16??00??null,
55:56.6,1993,149191,?�계,Total,545,140438,6760,522,23,287.75,10154,2021??06??16??00??null,
37:45.2,5,3964,검???�離?�,9,3783,176,0,9,-,10153,2021??06??15??00??null,,
37:45.2,1,1198,?�주,Jeju,6,1085,112,6,0,178.61,10152,2021??06??15??00??null,
37:45.2,20,5049,경남,Gyeongsangnam-do,3,4765,264,3,0,150.21,10151,2021??06??15??00??null,
37:45.2,86,4822,경북,Gyeongsangbuk-do,5,4617,119,2,3,181.11,10150,2021??06??15??00??null,
37:45.2,15,1556,?�남,Jeollanam-do,3,1433,108,3,0,83.44,10149,2021??06??15??00??null,
37:45.2,58,2298,?�북,Jeollabuk-do,4,2190,50,4,0,126.45,10148,2021??06??15??00??null,
37:45.2,41,3661,충남,Chungcheongnam-do,7,3506,114,6,1,172.49,10147,2021??06??15??00??null,
37:45.2,69,3162,충북,Chungcheongbuk-do,14,2911,182,14,0,197.7,10146,2021??06??15??00??null,
37:45.2,51,3370,강원,Gangwon-do,3,3191,128,2,1,218.75,10145,2021??06??15??00??null,
37:45.2,648,41540,경기,Gyeonggi-do,120,38898,1994,118,2,313.5,10144,2021??06??15??00??null,
37:45.2,1,513,?�종,Sejong,8,485,27,7,1,149.86,10143,2021??06??15??00??null,
37:45.2,40,2682,?�산,Ulsan,4,2579,63,4,0,233.82,10142,2021??06??15??00??null,
37:45.2,25,2364,?�??大田,15,2122,217,14,1,160.36,10141,2021??06??15??00??null,,
37:45.2,23,2872,광주,Gwangju,4,2806,43,3,1,197.16,10140,2021??06??15??00??null,
37:45.2,61,6458,?�천,Incheon,12,6195,202,11,1,218.46,10139,2021??06??15??00??null,
37:45.2,222,10454,?��?大邱,16,9915,317,16,0,429.06,10138,2021??06??15??00??null,,
37:45.2,124,5952,부???�山,9,5607,221,6,3,174.45,10137,2021??06??15??00??null,,
37:45.2,502,46731,?�울,Seoul,131,43645,2584,127,4,480.11,10136,2021??06??15??00??2021-06-16 09:48:21.999,
37:45.2,1992,148646,?�계,Total,373,139733,6921,346,27,286.7,10135,2021??06??15??00??2021-06-16 09:47:55.797,
39:12.8,5,3955,검???�離?�,16,3769,181,0,16,-,10134,2021??06??14??00??null,,
39:12.8,1,1192,?�주,Jeju,9,1071,120,9,0,177.71,10133,2021??06??14??00??null,
39:12.8,20,5046,경남,Gyeongsangnam-do,13,4741,285,13,0,150.12,10132,2021??06??14??00??null,
39:12.8,86,4817,경북,Gyeongsangbuk-do,4,4605,126,4,0,180.92,10131,2021??06??14??00??null,
39:12.8,15,1553,?�남,Jeollanam-do,4,1427,111,4,0,83.28,10130,2021??06??14??00??null,
39:12.8,58,2294,?�북,Jeollabuk-do,2,2179,57,2,0,126.23,10129,2021??06??14??00??null,
39:12.8,39,3654,충남,Chungcheongnam-do,7,3494,121,7,0,172.16,10128,2021??06??14??00??null,
39:12.8,69,3148,충북,Chungcheongbuk-do,23,2885,194,23,0,196.82,10127,2021??06??14??00??null,
39:12.8,51,3367,강원,Gangwon-do,11,3176,140,10,1,218.56,10126,2021??06??14??00??null,
39:12.8,648,41420,경기,Gyeonggi-do,122,38659,2113,113,9,312.6,10125,2021??06??14??00??null,
39:12.8,1,505,?�종,Sejong,1,483,21,0,1,147.52,10124,2021??06??14??00??null,
39:12.8,40,2678,?�산,Ulsan,0,2576,62,0,0,233.47,10123,2021??06??14??00??null,
39:12.8,25,2349,?�??大田,10,2099,225,10,0,159.35,10122,2021??06??14??00??null,,
39:12.8,22,2868,광주,Gwangju,4,2798,48,3,1,196.88,10121,2021??06??14??00??null,
39:12.8,61,6446,?�천,Incheon,14,6180,205,13,1,218.06,10120,2021??06??14??00??null,
39:12.8,222,10438,?��?大邱,20,9882,334,19,1,428.4,10119,2021??06??14??00??null,,
39:12.8,124,5943,부???�山,17,5594,225,10,7,174.19,10118,2021??06??14??00??null,,
39:12.8,501,46598,?�울,Seoul,120,43404,2695,118,2,478.76,10117,2021??06??14??00??2021-06-15 15:30:59.346,
39:12.8,1988,148271,?�계,Total,397,139022,7263,358,39,285.98,10116,2021??06??14??00??2021-06-15 15:30:59.346,
40:59.5,5,3939,검???�離?�,17,3768,166,0,17,-,10115,2021??06??13??00??null,,
40:59.5,1,1183,?�주,Jeju,5,1059,123,5,0,176.37,10114,2021??06??13??00??null,
40:59.5,19,5033,경남,Gyeongsangnam-do,8,4713,301,7,1,149.73,10113,2021??06??13??00??null,
40:59.5,86,4813,경북,Gyeongsangbuk-do,7,4602,125,7,0,180.77,10112,2021??06??13??00??null,
40:59.5,15,1549,?�남,Jeollanam-do,3,1424,110,3,0,83.07,10111,2021??06??13??00??null,
40:59.5,58,2292,?�북,Jeollabuk-do,1,2177,57,1,0,126.12,10110,2021??06??13??00??null,
40:59.5,39,3647,충남,Chungcheongnam-do,10,3484,124,8,2,171.83,10109,2021??06??13??00??null,
40:59.5,68,3125,충북,Chungcheongbuk-do,6,2881,176,6,0,195.39,10108,2021??06??13??00??null,
40:59.5,51,3356,강원,Gangwon-do,10,3155,150,10,0,217.85,10107,2021??06??13??00??null,
40:59.5,647,41298,경기,Gyeonggi-do,149,38507,2144,142,7,311.67,10106,2021??06??13??00??null,
40:59.5,1,504,?�종,Sejong,1,482,21,1,0,147.23,10105,2021??06??13??00??null,
40:59.5,40,2678,?�산,Ulsan,2,2566,72,2,0,233.47,10104,2021??06??13??00??null,
40:59.5,25,2339,?�??大田,11,2089,225,11,0,158.67,10103,2021??06??13??00??null,,
40:59.5,22,2864,광주,Gwangju,3,2796,46,2,1,196.61,10102,2021??06??13??00??null,
40:59.5,61,6432,?�천,Incheon,15,6172,199,13,2,217.58,10101,2021??06??13??00??null,
40:59.5,222,10418,?��?大邱,15,9837,359,14,1,427.58,10100,2021??06??13??00??null,,
40:59.5,124,5926,부???�山,13,5573,229,13,0,173.69,10099,2021??06??13??00??null,,
40:59.5,501,46476,?�울,Seoul,174,43296,2681,172,2,477.51,10098,2021??06??13??00??2021-06-15 15:30:59.346,
40:59.5,1985,147872,?�계,Total,450,138581,7308,417,33,477.51,10097,2021??06??13??00??2021-06-15 15:30:59.346,
44:23.8,5,3922,검???�離?�,9,3768,149,0,9,-,10096,2021??06??12??00??null,,
44:23.8,1,1178,?�주,Jeju,5,1046,131,5,0,175.62,10095,2021??06??12??00??null,
44:23.8,19,5025,경남,Gyeongsangnam-do,25,4689,317,23,2,149.49,10094,2021??06??12??00??null,
44:23.8,86,4806,경북,Gyeongsangbuk-do,5,4585,135,5,0,180.51,10093,2021??06??12??00??null,
44:23.8,15,1546,?�남,Jeollanam-do,4,1418,113,4,0,82.91,10092,2021??06??12??00??null,
44:23.8,58,2291,?�북,Jeollabuk-do,2,2168,65,2,0,126.07,10091,2021??06??12??00??null,
44:23.8,39,3637,충남,Chungcheongnam-do,5,3471,127,4,1,171.36,10090,2021??06??12??00??null,
44:23.8,68,3119,충북,Chungcheongbuk-do,12,2872,179,12,0,195.01,10089,2021??06??12??00??null,
44:23.8,51,3346,강원,Gangwon-do,11,3144,151,10,1,217.2,10088,2021??06??12??00??null,
44:23.8,646,41149,경기,Gyeonggi-do,174,38349,2154,170,4,310.55,10087,2021??06??12??00??null,
44:23.8,1,503,?�종,Sejong,1,481,21,0,1,146.94,10086,2021??06??12??00??null,
44:23.8,40,2676,?�산,Ulsan,6,2552,84,6,0,233.3,10085,2021??06??12??00??null,
44:23.8,25,2328,?�??大田,22,2068,235,22,0,157.92,10084,2021??06??12??00??null,,
44:23.8,22,2861,광주,Gwangju,7,2790,49,4,3,196.4,10083,2021??06??12??00??null,
44:23.8,61,6417,?�천,Incheon,20,6155,201,19,1,217.08,10082,2021??06??12??00??null,
44:23.8,222,10403,?��?大邱,23,9758,423,21,2,426.97,10081,2021??06??12??00??null,,
44:23.8,124,5913,부???�山,26,5549,240,13,13,173.31,10080,2021??06??12??00??null,,
44:23.8,499,46300,?�울,Seoul,206,43174,2629,203,3,475.7,10079,2021??06??12??00??2021-06-15 15:30:59.346,
44:23.8,1982,147420,?�계,Total,563,138037,7403,523,40,284.34,10078,2021??06??12??00??2021-06-15 15:30:59.346,
47:58.3,5,3913,검???�離?�,4,3762,146,0,4,-,10077,2021??06??11??00??null,,
47:58.3,1,1173,?�주,Jeju,5,1028,144,5,0,174.88,10076,2021??06??11??00??null,
47:58.3,19,5000,경남,Gyeongsangnam-do,20,4673,308,20,0,148.75,10075,2021??06??11??00??null,
47:58.3,86,4801,경북,Gyeongsangbuk-do,6,4564,151,6,0,180.32,10074,2021??06??11??00??null,
47:58.3,15,1542,?�남,Jeollanam-do,5,1413,114,5,0,82.69,10073,2021??06??11??00??null,
47:58.3,58,2289,?�북,Jeollabuk-do,4,2159,72,4,0,125.96,10072,2021??06??11??00??null,
47:58.3,39,3632,충남,Chungcheongnam-do,5,3454,139,5,0,171.12,10071,2021??06??11??00??null,
47:58.3,68,3107,충북,Chungcheongbuk-do,16,2863,176,16,0,194.26,10070,2021??06??11??00??null,
47:58.3,51,3335,강원,Gangwon-do,11,3130,154,10,1,216.48,10069,2021??06??11??00??null,
47:58.3,645,40975,경기,Gyeonggi-do,173,38187,2143,172,1,309.24,10068,2021??06??11??00??null,
47:58.3,1,502,?�종,Sejong,2,477,24,1,1,146.64,10067,2021??06??11??00??null,
47:58.3,40,2670,?�산,Ulsan,15,2542,88,15,0,232.77,10066,2021??06??11??00??null,
47:58.3,25,2306,?�??大田,15,2047,234,15,0,156.43,10065,2021??06??11??00??null,,
47:58.3,22,2854,광주,Gwangju,1,2779,53,1,0,195.92,10064,2021??06??11??00??null,
47:58.3,61,6397,?�천,Incheon,18,6131,205,17,1,216.4,10063,2021??06??11??00??null,
47:58.3,222,10380,?��?大邱,24,9716,442,23,1,426.02,10062,2021??06??11??00??null,,
47:58.3,124,5887,부???�山,28,5524,239,25,3,172.55,10061,2021??06??11??00??null,,
47:58.3,499,46092,?�울,Seoul,202,42775,2822,199,3,473.58,10060,2021??06??11??00??2021-06-15 15:30:59.346,
47:58.3,1981,146855,?�계,Total,554,137224,7654,539,15,283.25,10059,2021??06??11??00??2021-06-15 15:30:59.346,
39:59.5,5,3909,검???�離?�,8,3761,143,0,8,-,10058,2021??06??10??00??null,,
39:59.5,1,1168,?�주,Jeju,10,1017,150,10,0,174.13,10057,2021??06??10??00??null,
39:59.5,19,4980,경남,Gyeongsangnam-do,33,4662,299,33,0,148.16,10056,2021??06??10??00??null,
39:59.5,86,4795,경북,Gyeongsangbuk-do,11,4547,162,9,2,180.09,10055,2021??06??10??00??null,
39:59.5,15,1537,?�남,Jeollanam-do,4,1408,114,4,0,82.43,10054,2021??06??10??00??null,
39:59.5,58,2285,?�북,Jeollabuk-do,2,2155,72,2,0,125.74,10053,2021??06??10??00??null,
39:59.5,39,3627,충남,Chungcheongnam-do,7,3443,145,7,0,170.89,10052,2021??06??10??00??null,
39:59.5,68,3091,충북,Chungcheongbuk-do,24,2851,172,24,0,193.26,10051,2021??06??10??00??null,
39:59.5,51,3324,강원,Gangwon-do,16,3101,172,16,0,215.77,10050,2021??06??10??00??null,
39:59.5,643,40802,경기,Gyeonggi-do,180,38039,2120,176,4,307.93,10049,2021??06??10??00??null,
39:59.5,1,500,?�종,Sejong,3,472,27,3,0,146.06,10048,2021??06??10??00??null,
39:59.5,40,2655,?�산,Ulsan,7,2536,79,7,0,231.47,10047,2021??06??10??00??null,
39:59.5,25,2291,?�??大田,22,2035,231,21,1,155.41,10046,2021??06??10??00??null,,
39:59.5,22,2853,광주,Gwangju,4,2776,55,3,1,195.86,10045,2021??06??10??00??null,
39:59.5,61,6379,?�천,Incheon,22,6105,213,22,0,215.79,10044,2021??06??10??00??null,
39:59.5,222,10356,?��?大邱,30,9675,459,29,1,425.04,10043,2021??06??10??00??null,,
39:59.5,124,5859,부???�山,15,5503,232,15,0,171.73,10042,2021??06??10??00??null,,
39:59.5,499,45890,?�울,Seoul,211,42627,2766,211,0,471.48,10041,2021??06??10??00??2021-06-15 15:30:59.346,
39:59.5,1979,146301,?�계,Total,609,136713,7611,592,17,282.18,10040,2021??06??10??00??2021-06-15 15:30:59.346,
46:17.5,5,3901,검???�離?�,5,3745,151,0,5,-,10039,2021??06??09??00??null,,
46:17.5,1,1158,?�주,Jeju,7,1012,145,6,1,172.64,10038,2021??06??09??00??null,
